year,iesize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2160530,2340350,6292343,5534802,448191,19.587,343957,15.032,2469508,853429,1616079,15.419,44.618,958087,646240,311847,11.675999999999998,17.31,1511421,27.308000000000003,34.62,249775,251513,464146
1979,a) 1 to 4,2145206,2322058,6092212,5436404,431698,19.113,305000,13.503,2262910,816977,1445933,15.028,41.625,962150,587328,374822,10.804,17.698,1300760,23.927,35.397,219420,221186,419182
1980,a) 1 to 4,2106894,2286148,5771287,5309741,401763,17.771,350961,15.524,1996492,762429,1234063,14.359000000000002,37.601,1084190,655819,428371,12.351,20.419,912302,17.182000000000002,40.838,257214,259444,476300
1981,a) 1 to 4,2157545,2345296,6001181,5466537,388685,16.796,326355,14.103,2082457,737063,1345394,13.483,38.095,1023059,602582,420477,11.023,18.715,1059398,19.38,37.43,226106,228836,416988
1982,a) 1 to 4,2137131,2333206,6075079,5529376,404419,17.417,382086,16.455,2196839,788007,1408832,14.251,39.73,1115947,706556,409391,12.778,20.182,1080892,19.548,40.364,274817,277938,509505
1983,a) 1 to 4,2238671,2435944,6212345,5621559,441759,18.684,298693,12.633,2149596,830597,1318999,14.775,38.238,979276,573986,405290,10.21,17.42,1170320,20.818,34.84,212299,214967,411075
1984,a) 1 to 4,2360279,2563254,6774072,5984963,490846,19.825,316138,12.769,2533363,934568,1598795,15.615,42.32899999999999,963488,593064,370424,9.909,16.098,1569875,26.23,32.197,236121,238715,446728
1985,a) 1 to 4,2354993,2556878,6760464,6038752,478191,19.142,360660,14.437,2494396,915464,1578932,15.16,41.306,1062581,676881,385700,11.209,17.596,1431815,23.71,35.192,271873,274996,515923
1986,a) 1 to 4,2358588,2559218,6760875,6064021,466335,18.623,356176,14.223,2470333,898585,1571748,14.818,40.738,1085077,678496,406581,11.189,17.894000000000005,1385256,22.844,35.787,263985,267149,508938
1987,a) 1 to 4,2386405,2592608,6917533,6174014,491439,19.398,373132,14.728,2605692,942849,1662843,15.271,42.20399999999999,1128050,716807,411243,11.61,18.271,1477642,23.933000000000003,36.542,272359,275526,525352
1988,a) 1 to 4,2446287,2668175,7039729,6302079,501747,19.276,371271,14.264,2606303,956133,1650170,15.172,41.356,1141251,699690,441561,11.103,18.109,1465052,23.247,36.218,274676,278110,523228
1989,a) 1 to 4,2478441,2710622,7163571,6416575,491378,18.542,370175,13.969,2615150,940904,1674246,14.664,40.756,1135633,695428,440205,10.838,17.698,1479517,23.058000000000003,35.397,277451,281897,530256
1990,a) 1 to 4,2499197,2736263,7209693,6484518,477803,17.799,374296,13.943,2583981,911400,1672581,14.055,39.848,1146638,703022,443616,10.842,17.683,1437343,22.166,35.365,284743,289197,543592
1991,a) 1 to 4,2474509,2725156,6975378,6407033,457449,16.971,398048,14.767,2365099,877835,1487264,13.701,36.914,1244300,748712,495588,11.686,19.421,1120799,17.493,38.842,294629,299508,564307
1992,a) 1 to 4,2516700,2766752,7265774,6598888,445960,16.278,391806,14.300999999999998,2522235,844162,1678073,12.792,38.222,1203237,735799,467438,11.15,18.234,1318998,19.988,36.468,274331,279193,520000
1993,a) 1 to 4,2574864,2820360,7377798,6701135,458753,16.453,394670,14.154000000000002,2536288,856766,1679522,12.785,37.849,1193510,737218,456292,11.001,17.811,1342778,20.038,35.621,277894,283221,526482
1994,a) 1 to 4,2617572,2867563,7298492,6685805,475082,16.801,395410,13.983,2430337,888314,1542023,13.287,36.351,1216768,731944,484824,10.948,18.199,1213569,18.151,36.399,286665,290866,537998
1995,a) 1 to 4,2686796,2944840,7449489,6801328,490228,16.930999999999994,391274,13.514,2466219,915005,1551214,13.453,36.261,1180433,718324,462109,10.562,17.355999999999998,1285786,18.905,34.712,287344,291981,536365
1996,a) 1 to 4,2706470,2968742,7452680,6841794,483804,16.500999999999998,410097,13.987,2432616,900227,1532389,13.158,35.555,1220891,750737,470154,10.973,17.845,1211725,17.711,35.689,298800,303266,556000
1997,a) 1 to 4,2735770,3002026,7709958,7013163,499878,16.820999999999998,439388,14.785,2658919,937548,1721371,13.368,37.913,1274513,811274,463239,11.568,18.173,1384406,19.74,36.346,308387,313974,576376
1998,a) 1 to 4,2757078,3038671,7780933,7082762,489564,16.313,414431,13.809,2625606,905540,1720066,12.785,37.07,1239515,763605,475910,10.781,17.5,1386091,19.57,35.001,289105,293705,537756
1999,a) 1 to 4,2768979,3058502,7757137,7079333,481378,15.909,415865,13.744000000000002,2578812,891632,1687180,12.595,36.427,1236047,760939,475108,10.749,17.46,1342765,18.967,34.92,292826,297386,542709
2000,a) 1 to 4,2762366,3064466,7825608,7138639,466313,15.314,427279,14.032,2607530,872312,1735218,12.22,36.527,1241860,776395,465465,10.876,17.396,1365670,19.131,34.793,292020,297072,538375
2001,a) 1 to 4,2745675,3056045,7744815,7090355,476436,15.693,436422,14.375,2577194,889294,1687900,12.542,36.348,1278808,795700,483108,11.222,18.036,1298386,18.312,36.072,293077,298192,541929
2002,a) 1 to 4,2764873,3077816,7917790,7202108,498947,16.287,470293,15.352,2761666,951290,1810376,13.208,38.345,1347186,858759,488427,11.924,18.705,1414480,19.64,37.411,302999,309051,561284
2003,a) 1 to 4,2826523,3148394,8050751,7341098,518184,16.63,453474,14.553,2747450,957558,1789892,13.044,37.426,1342770,825337,517433,11.243,18.291,1404680,19.134,36.582,300812,305009,555151
2004,a) 1 to 4,2878407,3210896,8278036,7479021,532002,16.795,445390,14.061,2865021,980266,1884755,13.107,38.307,1280662,803563,477099,10.744000000000002,17.123,1584359,21.184,34.247,299911,304149,553874
2005,a) 1 to 4,2921919,3263048,8063603,7423259,553501,17.198,464391,14.429,2649939,1004951,1644988,13.538,35.698,1383873,837891,545982,11.287,18.642,1266066,17.055,37.285,314591,319213,578641
2006,a) 1 to 4,3005957,3371444,8378372,7637472,608842,18.349,502063,15.130999999999998,2849982,1102361,1747621,14.434,37.316,1378835,892715,486120,11.689,18.054,1471147,19.262,36.107,361766,365629,656193
2007,a) 1 to 4,3018196,3398403,8496671,7744204,572254,17.014,502428,14.938,2913744,1022232,1891512,13.2,37.625,1426591,886635,539956,11.449000000000002,18.421,1487153,19.203,36.843,339908,343968,606220
2008,a) 1 to 4,2976874,3362704,8282947,7680169,503347,14.887,540198,15.977,2669591,892669,1776922,11.623,34.76,1480651,933128,547523,12.15,19.279,1188940,15.481,38.558,371951,375882,650715
2009,a) 1 to 4,2885275,3258656,7795636,7408197,450473,13.554,580279,17.46,2328981,799214,1529767,10.788,31.438,1570932,1003203,567729,13.542,21.205,758049,10.233,42.411,384841,389105,677438
2010,a) 1 to 4,2895666,3282537,7857227,7405163,456633,13.785,516415,15.59,2299312,814210,1485102,10.995,31.05,1408803,893539,515264,12.066,19.025,890509,12.026,38.049,332114,336951,586964
2011,a) 1 to 4,2918412,3318833,7992437,7462704,483501,14.559,487846,14.69,2374686,855124,1519562,11.459,31.821,1328129,839699,488430,11.252,17.797,1046557,14.024,35.594,318989,323727,562133
2012,a) 1 to 4,2959634,3355515,8194295,7538999,491136,14.739,444373,13.336,2533967,869468,1664499,11.533,33.611,1240417,775956,464461,10.293,16.453,1293550,17.158,32.907,280804,285932,500440
2013,a) 1 to 4,2959907,3361461,8073130,7492983,482711,14.439,446083,13.343,2379889,850957,1528932,11.357,31.762,1237365,775855,461510,10.354,16.514,1142524,15.248,33.027,286401,288996,505926
2014,a) 1 to 4,2977004,3390935,8112736,7513169,489420,14.555,432621,12.866,2382877,859871,1523006,11.445,31.716,1199596,748619,450977,9.964,15.967,1183281,15.749,31.933000000000003,290031,293207,510982
2015,a) 1 to 4,2996623,3422715,8160956,7555870,495292,14.602,433561,12.782,2399633,868928,1530705,11.5,31.759,1203195,751124,452071,9.941,15.924,1196438,15.835,31.848000000000006,290733,294104,513015
2016,a) 1 to 4,3031765,3493270,8280824,7641885,515570,14.966,418730,12.155,2438658,906712,1531946,11.865,31.912,1175888,720596,455292,9.43,15.387,1262770,16.524,30.775,297946,301422,521987
2017,a) 1 to 4,3042504,3496644,8363420,7730409,491202,14.128,451637,12.99,2515815,854551,1661264,11.054,32.544000000000004,1265072,778985,486087,10.077,16.365,1250743,16.18,32.73,314166,317848,547796
2018,a) 1 to 4,3057257,3515430,8372919,7733278,482852,13.819,440204,12.598,2478284,830539,1647745,10.74,32.047,1205224,752642,452582,9.733,15.585,1273060,16.462,31.17,336698,341627,581544
1978,b) 5 to 9,757231,899090,6539228,6110253,104716,11.864,71866,8.142000000000001,1865951,681369,1184582,11.151,30.538,1000262,465170,535092,7.612999999999999,16.37,865689,14.168,32.74,45804,46610,300808
1979,b) 5 to 9,804680,956963,6710432,6406690,100001,10.604,72187,7.655,1748920,650792,1098128,10.158,27.298,1133694,469301,664393,7.325,17.695,615226,9.603,35.391,46350,47072,304144
1980,b) 5 to 9,815110,976259,6517853,6414542,93347,9.643,76807,7.935,1527707,606404,921303,9.454,23.816,1306330,499175,807155,7.782,20.365,221377,3.451,40.73,50955,51774,336006
1981,b) 5 to 9,818877,990267,6643279,6466205,97919,10.054,65250,6.7,1556621,638027,918594,9.867,24.073,1191613,421763,769850,6.523,18.428,365008,5.645,36.857,40940,41942,271436
1982,b) 5 to 9,827495,1010193,6777599,6629853,102025,10.22,78219,7.835,1634986,660058,974928,9.956,24.661,1331684,505776,825908,7.629,20.086,303302,4.575,40.172,52348,53565,346844
1983,b) 5 to 9,845683,1031263,6966713,6773490,97355,9.569,69543,6.836,1613194,629488,983706,9.293,23.816,1217223,450531,766692,6.651,17.97,395971,5.846,35.941,46116,47222,305897
1984,b) 5 to 9,880954,1076075,7588087,7178928,111544,10.579,68113,6.46,1941407,721728,1219679,10.053,27.043000000000006,1114177,441540,672637,6.151,15.52,827230,11.523,31.04,48067,49031,317950
1985,b) 5 to 9,909553,1105787,7716582,7397303,112058,10.259,84964,7.779,1923465,727073,1196392,9.829,26.002,1275593,552541,723052,7.4689999999999985,17.244,647872,8.758,34.488,58991,60300,392689
1986,b) 5 to 9,930012,1131224,7827940,7515642,117778,10.573,83248,7.473,1946977,766764,1180213,10.202,25.906,1314149,541830,772319,7.209,17.486,632828,8.42,34.971,58163,59303,385775
1987,b) 5 to 9,949667,1160009,8100983,7754624,124913,10.922,92323,8.072000000000001,2103478,808779,1294699,10.43,27.125,1400535,598104,802431,7.712999999999999,18.061,702943,9.065,36.121,61244,62423,404806
1988,b) 5 to 9,982388,1204665,8330489,7996488,124707,10.52,86326,7.282,2079763,810799,1268964,10.139,26.008000000000006,1401738,559648,842090,6.999,17.529,678025,8.479,35.059,59379,61022,396545
1989,b) 5 to 9,1000349,1236978,8556572,8229737,122197,10.021,87179,7.149,2068352,796567,1271785,9.679,25.133000000000006,1407165,567769,839396,6.899,17.099,661187,8.033999999999999,34.197,61383,63393,412489
1990,b) 5 to 9,1015181,1259625,8685066,8387919,117610,9.45,87454,7.027,2043948,765404,1278544,9.125,24.368,1439853,569817,870036,6.792999999999998,17.166,604095,7.202000000000001,34.332,62624,64649,420221
1991,b) 5 to 9,1018937,1273060,8485366,8352798,119554,9.485,94431,7.492000000000001,1888596,782562,1106034,9.369,22.61,1612754,613882,998872,7.349,19.308,275842,3.302,38.616,65675,67487,439051
1992,b) 5 to 9,1015697,1275406,8694185,8484282,109024,8.612,90025,7.112,1963252,707830,1255422,8.343,23.14,1533543,586031,947512,6.907,18.075,429709,5.065,36.15,56763,58455,378783
1993,b) 5 to 9,1031264,1284401,8839234,8605355,104123,8.144,92384,7.226,1964288,673901,1290387,7.831,22.826,1486115,598346,887769,6.9529999999999985,17.27,478173,5.557,34.539,55961,57876,374932
1994,b) 5 to 9,1047866,1305763,8940290,8706297,108220,8.351,88408,6.822,1958099,704042,1254057,8.087,22.491,1479063,573994,905069,6.593,16.988,479036,5.502000000000002,33.977,58422,60448,392185
1995,b) 5 to 9,1055141,1316118,9080839,8801455,110840,8.5,86608,6.642,1988662,719516,1269146,8.175,22.595,1420010,565546,854464,6.426,16.134,568652,6.461,32.268,57456,59763,388923
1996,b) 5 to 9,1061479,1327756,9052164,8836368,110883,8.418,89688,6.809,1930032,716755,1213277,8.111,21.842,1485882,582804,903078,6.596,16.816,444150,5.026,33.631,60103,62426,405234
1997,b) 5 to 9,1069422,1344642,9334477,9055399,118007,8.827,102556,7.671,2154058,765228,1388830,8.451,23.788,1580369,668786,911583,7.385,17.452,573689,6.335,34.904,63531,66408,431203
1998,b) 5 to 9,1083017,1359891,9483403,9187877,105902,7.824,93202,6.886,2114475,687058,1427417,7.478,23.014,1512720,606806,905914,6.604,16.464000000000002,601755,6.549,32.929,56006,58524,379877
1999,b) 5 to 9,1081988,1363969,9431893,9192225,102933,7.5710000000000015,94310,6.936,2024033,668211,1355822,7.269,22.019,1530725,616281,914444,6.704,16.652,493308,5.367000000000001,33.305,57147,59915,389356
2000,b) 5 to 9,1083827,1371093,9556616,9259893,106558,7.812,92471,6.779,2089994,691900,1398094,7.472,22.57,1484134,603140,880994,6.513,16.028,605860,6.542999999999998,32.055,55672,58725,382278
2001,b) 5 to 9,1085821,1377422,9467290,9238560,107464,7.841,93662,6.834,2018693,698600,1320093,7.562,21.851,1551128,608915,942213,6.591,16.79,467565,5.061,33.579,56567,59832,388240
2002,b) 5 to 9,1086165,1385166,9492585,9273823,118983,8.638,103558,7.518,2152912,777558,1375354,8.384,23.215,1703417,676762,1026655,7.297999999999999,18.368,449495,4.847,36.736,60487,63305,412480
2003,b) 5 to 9,1092696,1394638,9716207,9429366,104418,7.52,92315,6.648,2131493,674317,1457176,7.151,22.605,1544356,602170,942186,6.386,16.378,587137,6.227,32.756,53939,55935,363483
2004,b) 5 to 9,1106037,1405780,9747444,9470000,103363,7.394,87837,6.283,2041198,670998,1370200,7.086,21.554,1476886,571375,905511,6.034,15.595,564312,5.959,31.191,54808,57072,369828
2005,b) 5 to 9,1123397,1431063,9734830,9534162,108899,7.664,88577,6.234,1994745,707757,1286988,7.422999999999999,20.922,1575806,575746,1000060,6.039,16.528,418939,4.394,33.056,57486,59033,381956
2006,b) 5 to 9,1135881,1452242,10010937,9710772,125945,8.766,94864,6.603,2147615,823969,1323646,8.485,22.116,1533935,616766,917169,6.351,15.796,613680,6.32,31.592,65591,67400,437409
2007,b) 5 to 9,1137682,1464674,10006379,9808383,110043,7.553,94444,6.483,2098176,715754,1382422,7.2970000000000015,21.392,1686466,615501,1070965,6.275,17.194000000000006,411710,4.198,34.388000000000005,56989,58422,378581
2008,b) 5 to 9,1129833,1458546,9889964,9765640,96405,6.617000000000001,93194,6.397,1941100,626852,1314248,6.419,19.877,1674694,606933,1067761,6.215,17.149,266406,2.728,34.298,58401,59789,387187
2009,b) 5 to 9,1100353,1438074,9389877,9510043,83531,5.7810000000000015,97245,6.73,1594430,544147,1050283,5.722,16.766,1819715,631441,1188274,6.64,19.135,-225285,-2.369,33.531,60763,63057,407672
2010,b) 5 to 9,1067114,1406417,9347209,9339565,80660,5.728,84136,5.975,1555723,524257,1031466,5.613,16.657,1525448,545982,979466,5.846,16.333,30275,0.324,32.666,51000,52972,342733
2011,b) 5 to 9,1042898,1391131,9466216,9317647,83580,6.023,76671,5.525,1661877,541742,1120135,5.814,17.836,1354952,496089,858863,5.324,14.542,306925,3.294,29.084,46972,50334,324499
2012,b) 5 to 9,1058243,1401640,9660793,9449618,85285,6.099,78740,5.631,1819135,555495,1263640,5.877999999999999,19.251,1385896,512522,873374,5.424,14.666,433239,4.585,29.332,45170,47178,305549
2013,b) 5 to 9,1067706,1406658,9637791,9461107,82644,5.888,76640,5.46,1723911,538710,1185201,5.694,18.221,1359575,501511,858064,5.301,14.37,364336,3.851,28.74,46373,47627,310058
2014,b) 5 to 9,1069508,1416355,9716590,9501941,85525,6.068,71792,5.093,1723018,555889,1167129,5.85,18.133,1280457,466887,813570,4.914,13.476,442561,4.658,26.951,45705,46848,303615
2015,b) 5 to 9,1076312,1426694,9747804,9550252,87129,6.1370000000000005,73310,5.1629999999999985,1722985,567417,1155568,5.941,18.041,1314639,477445,837194,4.999,13.765,408346,4.276,27.531,46468,48115,311880
2016,b) 5 to 9,1084671,1441354,9871785,9646030,89261,6.234,70394,4.916,1758896,581453,1177443,6.028,18.234,1297113,459175,837938,4.76,13.447,461783,4.787,26.894,47296,49191,320529
2017,b) 5 to 9,1087316,1445837,9972748,9770368,84653,5.862,81377,5.635,1859302,550319,1308983,5.632999999999999,19.03,1442319,526030,916289,5.384,14.762,416983,4.268,29.524,48696,50560,329408
2018,b) 5 to 9,1080089,1433496,9834040,9669074,75476,5.266,74937,5.229,1694248,489681,1204567,5.064,17.522000000000002,1346855,488238,858617,5.049,13.93,347393,3.593,27.859,50732,53509,348559
1978,c) 10 to 19,428513,533637,7755904,7340986,54374,10.36,36791,7.01,1966094,722286,1243808,9.839,26.782,1135614,490565,645049,6.683,15.47,830480,11.313,30.939,20294,20846,275654
1979,c) 10 to 19,468261,580859,8160809,7886153,50677,8.827,37191,6.478,1841694,670207,1171487,8.499,23.354,1291853,494926,796927,6.276,16.381,549841,6.972,32.763000000000005,21988,22340,294945
1980,c) 10 to 19,484750,603564,8062168,8038200,46391,7.729,39675,6.61,1597510,613371,984139,7.631,19.874,1544118,527825,1016293,6.566,19.21,53392,0.664,38.419,24796,25370,336080
1981,c) 10 to 19,481181,604220,8109891,8005111,48397,8.115,32800,5.499,1617738,642234,975504,8.023,20.209,1404880,436359,968521,5.4510000000000005,17.55,212858,2.659,35.1,19092,19631,259834
1982,c) 10 to 19,484968,612261,8169885,8107250,50297,8.302999999999999,37290,6.1560000000000015,1679327,663828,1015499,8.187999999999999,20.714,1550113,497172,1052941,6.1320000000000014,19.12,129214,1.594,38.24,24096,24556,325957
1983,c) 10 to 19,483561,610053,8196948,8113596,46298,7.657999999999999,35375,5.851,1629512,612306,1017206,7.5470000000000015,20.084,1463454,471159,992295,5.807,18.037,166058,2.047,36.074,22203,22824,302863
1984,c) 10 to 19,492858,627433,8875359,8512207,52395,8.48,33300,5.3889999999999985,1972886,688861,1284025,8.093,23.177,1239304,444065,795239,5.2170000000000005,14.559,733582,8.618,29.118,22346,22830,303254
1985,c) 10 to 19,515397,653220,9174116,8877440,55061,8.509,42781,6.6110000000000015,2025212,729174,1296038,8.214,22.813,1428043,567301,860742,6.39,16.086,597169,6.727,32.172,28856,29430,391005
1986,c) 10 to 19,531157,676861,9370235,9122106,58317,8.715,42923,6.414,2038691,773758,1264933,8.482000000000001,22.349,1541974,569871,972103,6.247000000000001,16.904,496717,5.445,33.806999999999995,27801,28367,376956
1987,c) 10 to 19,543501,697032,9676320,9410398,62417,9.057,46732,6.7810000000000015,2184605,828087,1356518,8.8,23.215,1651311,621373,1029938,6.603,17.548,533294,5.667000000000002,35.095,29754,30413,403175
1988,c) 10 to 19,567032,730031,10052337,9788409,63004,8.743,44108,6.121,2195732,835733,1359999,8.538,22.432,1666435,586933,1079502,5.996,17.025,529297,5.407,34.049,28416,29327,388545
1989,c) 10 to 19,580855,750346,10420542,10132852,61692,8.309,45889,6.181,2232650,818388,1414262,8.077,22.034,1656042,609417,1046625,6.0139999999999985,16.343,576608,5.69,32.687,30246,31404,416698
1990,c) 10 to 19,593820,770133,10548118,10348462,58613,7.677,45267,5.9289999999999985,2122343,776319,1346024,7.502000000000002,20.509,1719669,602225,1117444,5.819,16.618,402674,3.891,33.235,30756,31677,420288
1991,c) 10 to 19,599608,789495,10392871,10390561,64936,8.304,49902,6.3820000000000014,2000700,863095,1137605,8.307,19.255,1994816,664189,1330627,6.392,19.198,5884,0.057,38.397,32965,34036,453597
1992,c) 10 to 19,586543,781928,10566682,10464183,54411,6.997000000000001,45863,5.898,2066247,719946,1346301,6.88,19.746,1860593,609852,1250741,5.8279999999999985,17.781,205654,1.965,35.561,27980,28766,381281
1993,c) 10 to 19,592771,780044,10660596,10530287,50636,6.505,47351,6.082999999999998,2011842,671829,1340013,6.38,19.105,1751473,627122,1124351,5.955,16.633,260369,2.4730000000000003,33.265,27113,28303,374752
1994,c) 10 to 19,605086,800082,10966691,10787454,55712,7.005,46265,5.817,2087404,742042,1345362,6.879,19.35,1727705,616003,1111702,5.71,16.016,359699,3.334,32.032,28397,29715,395122
1995,c) 10 to 19,613737,813721,11250300,11013633,56993,7.049,46513,5.752999999999999,2149096,759758,1389338,6.898,19.513,1673068,622541,1050527,5.652,15.191,476028,4.322,30.382,28192,29817,395303
1996,c) 10 to 19,621006,828884,11301304,11145513,56726,6.885,46887,5.69,2082957,752914,1330043,6.755,18.689,1769643,624733,1144910,5.605,15.878,313314,2.8110000000000004,31.755,29416,30742,410195
1997,c) 10 to 19,628842,841301,11638417,11403489,64723,7.734,55756,6.6629999999999985,2389260,858111,1531149,7.525,20.952,1911676,747022,1164654,6.551,16.764,477584,4.188,33.528,31402,32897,439111
1998,c) 10 to 19,640851,857229,11900962,11658342,56136,6.5710000000000015,50265,5.884,2318420,749763,1568657,6.431,19.886,1828745,672679,1156066,5.77,15.686,489675,4.2,31.372,27301,28566,380905
1999,c) 10 to 19,646460,871504,12038896,11852717,54991,6.322,51527,5.924,2223759,738800,1484959,6.233,18.762,1852285,688613,1163672,5.81,15.628,371474,3.134,31.255,29101,30996,413578
2000,c) 10 to 19,653917,882854,12347879,12074856,56543,6.426,50607,5.752000000000002,2352803,756232,1596571,6.263,19.485,1804041,677888,1126153,5.614,14.94,548762,4.545,29.881,28056,30090,402171
2001,c) 10 to 19,661667,900889,12335783,12189327,58210,6.482,52448,5.84,2242687,780558,1462129,6.404,18.399,1948374,702780,1245594,5.766,15.984000000000002,294313,2.415,31.969,28673,30499,407117
2002,c) 10 to 19,665633,910893,12301569,12218941,70768,7.814,60376,6.666,2421757,951436,1470321,7.787000000000001,19.82,2257001,811526,1445475,6.642,18.471,164756,1.348,36.94300000000001,32585,34944,468648
2003,c) 10 to 19,669378,914109,12660340,12463158,54556,5.979,51379,5.63,2347957,729133,1618824,5.85,18.839,1953751,684428,1269323,5.492000000000001,15.675999999999998,394206,3.1630000000000003,31.352,27411,28662,380481
2004,c) 10 to 19,676825,926611,12790342,12602279,54107,5.858,48286,5.227,2241037,725487,1515550,5.7570000000000014,17.783,1866813,646181,1220632,5.127000000000002,14.813,374224,2.969,29.627,27557,29061,388142
2005,c) 10 to 19,690984,946767,12802612,12713494,59144,6.282,48523,5.154,2166784,790816,1375968,6.22,17.043,1985347,652633,1332714,5.132999999999999,15.616,181437,1.4269999999999998,31.232,28781,29908,399494
2006,c) 10 to 19,694091,964713,13309493,13003006,73006,7.655,50959,5.343,2481992,972725,1509267,7.481,19.088,1869953,678255,1191698,5.216,14.380999999999998,612039,4.707,28.762,32459,33623,446084
2007,c) 10 to 19,704233,980936,13259354,13178377,62032,6.35,54031,5.5310000000000015,2351873,829151,1522722,6.292000000000002,17.846,2192920,718643,1474277,5.4529999999999985,16.64,158953,1.206,33.281,29492,30482,403523
2008,c) 10 to 19,700499,981129,13249147,13202880,55443,5.66,52225,5.332000000000002,2218086,738299,1479787,5.5920000000000005,16.8,2123952,696037,1427915,5.272,16.087,94134,0.713,32.174,30222,31661,421393
2009,c) 10 to 19,686446,973400,12599878,12865349,50052,5.138,51441,5.2810000000000015,1764217,669329,1094888,5.2029999999999985,13.713,2293248,682798,1610450,5.307,17.825,-529031,-4.112,27.426,30000,31280,414416
2010,c) 10 to 19,672967,962157,12642252,12733760,54201,5.6629999999999985,44247,4.623,1806240,706397,1099843,5.5470000000000015,14.185,1985565,587699,1397866,4.615,15.593,-179325,-1.408,28.369,25878,26907,356250
2011,c) 10 to 19,672650,965360,12979137,12969879,48291,5.012,44582,4.627,1931448,639180,1292268,4.928,14.892,1912941,585232,1327709,4.512,14.749,18507,0.14300000000000002,29.498,26173,27722,363375
2012,c) 10 to 19,649878,948565,13052267,12903977,46911,4.953,43925,4.638,2077191,623460,1453731,4.832,16.097,1776409,585293,1191116,4.5360000000000005,13.765999999999998,300782,2.331,27.533,23825,25189,334311
2013,c) 10 to 19,653589,950257,13108090,12923353,48778,5.152,41878,4.423,2039683,649820,1389863,5.0280000000000005,15.783,1665533,558712,1106821,4.323,12.888,374150,2.895,25.776,23579,24692,328020
2014,c) 10 to 19,660678,962239,13263563,13056531,49437,5.165,39082,4.084,1989037,658684,1330353,5.045,15.234000000000002,1574980,519122,1055858,3.976,12.063,414057,3.1710000000000003,24.126,23604,24629,326226
2015,c) 10 to 19,668804,977174,13498620,13288983,49594,5.098,40955,4.21,2039200,664929,1374271,5.004,15.345,1616860,548525,1068335,4.128,12.167,422340,3.178,24.334,23746,25178,335388
2016,c) 10 to 19,679242,987878,13618608,13398434,51342,5.229,39377,4.01,2038920,694390,1344530,5.183,15.218,1601762,526916,1074846,3.933,11.955,437158,3.263,23.91,24735,25967,346462
2017,c) 10 to 19,685614,998712,13862708,13647364,50043,5.023,45351,4.552,2233733,670905,1562828,4.916,16.368,1806858,606399,1200459,4.4430000000000005,13.24,426875,3.128,26.479,25914,27452,366877
2018,c) 10 to 19,692529,1001824,13831615,13673627,46130,4.61,43613,4.359,2047222,613685,1433537,4.488,14.972,1734664,580845,1153819,4.248,12.686,312558,2.286,25.372,27807,30209,403417
1978,d) 20 to 99,304652,448824,18863745,18109844,40188,9.062,29504,6.653,4191628,1564796,2626832,8.641,23.146,2682528,1149170,1533358,6.346,14.813,1509100,8.333,29.625,11724,12269,450954
1979,d) 20 to 99,340408,493121,20257956,19725090,37342,7.645,27995,5.731,3962848,1450283,2512565,7.352,20.09,2896171,1079706,1816465,5.474,14.683,1066677,5.408,29.365,12172,12530,450595
1980,d) 20 to 99,359702,521956,20607214,20546784,34531,6.6629999999999985,27129,5.235,3507294,1373493,2133801,6.685,17.07,3382227,1031333,2350894,5.019,16.461,125067,0.609,32.922,13910,14448,524745
1981,d) 20 to 99,359182,527852,20774159,20708829,36010,6.903,23643,4.532,3435019,1409453,2025566,6.806,16.587,3295796,910940,2384856,4.399,15.915,139223,0.672,31.83,10829,11359,410672
1982,d) 20 to 99,361319,533416,20725411,20830526,36262,6.859,26813,5.072,3451507,1413780,2037727,6.787000000000001,16.569000000000006,3657137,1028844,2628293,4.939,17.557000000000002,-205630,-0.987,33.139,13942,14372,523508
1983,d) 20 to 99,356778,530679,20678216,20768757,33198,6.292999999999998,26889,5.097,3479629,1290201,2189428,6.2120000000000015,16.754,3656281,1031759,2624522,4.968,17.605,-176652,-0.851,33.508,13542,14054,512589
1984,d) 20 to 99,356295,531375,22196876,21453507,37450,7.1320000000000014,24937,4.749,4305011,1458894,2846117,6.8,20.067,2810960,955348,1855612,4.453,13.103,1494051,6.964,26.205,13325,13726,496811
1985,d) 20 to 99,380171,560348,23098646,22641587,39769,7.14,33004,5.926,4350020,1546842,2803178,6.832000000000002,19.213,3437052,1302565,2134487,5.752999999999999,15.18,912968,4.032,30.361,19125,19810,743841
1986,d) 20 to 99,396936,586339,23798209,23383351,44842,7.737999999999999,31231,5.3889999999999985,4511189,1761627,2749562,7.534,19.292,3679510,1196705,2482805,5.118,15.736,831679,3.557,31.471,16985,17590,648025
1987,d) 20 to 99,405349,603390,24447353,24097933,48471,8.11,37073,6.2029999999999985,4735139,1905963,2829176,7.909,19.65,4033271,1443274,2589997,5.989,16.737000000000002,701868,2.9130000000000003,33.474000000000004,19462,20285,755950
